supplier,sku,group,prob,source
IEK,ярп4211,УЗО и дифавтоматы,1.0,rules
IEK,ярп4252,Автоматы и предохранители,1.0,rules
IEK,ярп4303,"Шины, клеммы, изоляторы",1.0,rules
IEK,ярп4385,Измерения и инструмент,1.0,rules
IEK,ярп4522,"Контакторы, пускатели, управление",1.0,rules
IEK,ярп4546,Прочее,0.223,laya_low_confidence
IEK,ярп4571,Розетки и выключатели,1.0,rules
IEK,ярп4665,Автоматы и предохранители,1.0,rules
IEK,ярп4673,Прочее,0.339,laya_low_confidence
IEK,ярп4795,"Контакторы, пускатели, управление",1.0,rules
IEK,ярп4890,"Шины, клеммы, изоляторы",1.0,rules
IEK,ярп5549,"Шины, клеммы, изоляторы",1.0,rules
IEK,ярп5602,Автоматы и предохранители,1.0,rules
IEK,ярп5605,"Шины, клеммы, изоляторы",1.0,rules
IEK,ярп5628,Автоматы и предохранители,1.0,rules
IEK,ярп5852,Розетки и выключатели,1.0,rules
IEK,ярп5867,"Кабель, провод, СКС",1.0,rules
IEK,ярп5962,Прочее,0.434,laya_low_confidence
IEK,ярп6058,Прочее,0.36,laya_low_confidence
IEK,ярп6059,Прочее,0.37,laya_low_confidence
IEK,ярп6060,"Контакторы, пускатели, управление",1.0,rules
IEK,ярп6181,Прочее,0.375,laya_low_confidence
IEK,ярп6182,Прочее,0.336,laya_low_confidence
IEK,ярп6188,Прочее,0.334,laya_low_confidence
IEK,яярп4532,Прочее,0.34,laya_low_confidence
IEK,яярп4533,Прочее,0.363,laya_low_confidence
IEK,яярп4610,Щиты и боксы,1.0,rules
IEK,яярп4772,Прочее,0.492,laya_low_confidence
IEK,яярп4773,Прочее,0.466,laya_low_confidence
IEK,яярп4792,Прочее,0.328,laya_low_confidence
IEK,яярп4811,Светильники и лампы,1.0,rules
IEK,яярп4814,Прочее,0.332,laya_low_confidence
IEK,яярп4829,Прочее,0.375,laya_low_confidence
IEK,яярп4849,Измерения и инструмент,1.0,rules
IEK,яярп4855,Автоматы и предохранители,1.0,rules
IEK,яярп6001,УЗО и дифавтоматы,1.0,rules
IEK,яяярп5300,Светильники и лампы,1.0,rules
IEK,яяярп5540,Прочее,0.438,laya_low_confidence
IEK,яяярп5542,УЗО и дифавтоматы,1.0,rules
IEK,яяяярп5518,"Контакторы, пускатели, управление",1.0,rules
SE,010400432_,Щиты и боксы,1.0,rules
SE,010400433_,Щиты и боксы,1.0,rules
SE,010400436_,Щиты и боксы,1.0,rules
SE,010400437_,Щиты и боксы,1.0,rules
SE,010400440_,Щиты и боксы,1.0,rules
SE,010400441_,Щиты и боксы,1.0,rules
SE,010400444_,Щиты и боксы,1.0,rules
SE,010400445_,Щиты и боксы,1.0,rules
SE,010400447_,Щиты и боксы,1.0,rules
SE,010400448_,Щиты и боксы,1.0,rules
SE,020100158_,Розетки и выключатели,1.0,rules
SE,020100159_,Розетки и выключатели,1.0,rules
SE,020100160_,Розетки и выключатели,1.0,rules
SE,020100161_,Розетки и выключатели,1.0,rules
SE,020100162_,Розетки и выключатели,1.0,rules
SE,020100163_,Розетки и выключатели,1.0,rules
SE,030200002_,Автоматы и предохранители,1.0,rules
SE,030200003_,Автоматы и предохранители,1.0,rules
SE,030200005_,Розетки и выключатели,1.0,rules
SE,030200006_,Розетки и выключатели,1.0,rules
SE,030200007_,Розетки и выключатели,1.0,rules
SE,030200008_,Розетки и выключатели,1.0,rules
SE,030200009_,Розетки и выключатели,1.0,rules
SE,030200010_,Розетки и выключатели,1.0,rules
SE,030200011_,Розетки и выключатели,1.0,rules
SE,030200012_,Розетки и выключатели,1.0,rules
SE,030200013_,Розетки и выключатели,1.0,rules
SE,030200015_,Розетки и выключатели,1.0,rules
SE,030200016_,Розетки и выключатели,1.0,rules
SE,030200025_,Автоматы и предохранители,1.0,rules
SE,030200026_,Автоматы и предохранители,1.0,rules
SE,030200027_,Розетки и выключатели,1.0,rules
SE,030200028_,Автоматы и предохранители,1.0,rules
SE,030200029_,Автоматы и предохранители,1.0,rules
SE,030200030_,Розетки и выключатели,1.0,rules
SE,030200031_,Розетки и выключатели,1.0,rules
SE,030200032_,Розетки и выключатели,1.0,rules
SE,030200034_,Розетки и выключатели,1.0,rules
SE,030200036_,Розетки и выключатели,1.0,rules
SE,030200037_,Розетки и выключатели,1.0,rules
SE,030200038_,Розетки и выключатели,1.0,rules
SE,030200039_,Розетки и выключатели,1.0,rules
SE,030200042_,Розетки и выключатели,1.0,rules
SE,030200045_,Розетки и выключатели,1.0,rules
SE,030200047_,Розетки и выключатели,1.0,rules
SE,030200052_,Розетки и выключатели,1.0,rules
SE,030200053_,Розетки и выключатели,1.0,rules
SE,030200054_,Розетки и выключатели,1.0,rules
SE,030200060_,Розетки и выключатели,1.0,rules
SE,030200062_,Розетки и выключатели,1.0,rules
SE,030200063_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,030200069_,Розетки и выключатели,1.0,rules
SE,030200072_,Розетки и выключатели,1.0,rules
SE,030200073_,Прочее,0.477,laya_low_confidence
SE,030200075_,Розетки и выключатели,1.0,rules
SE,030200076_,"Контакторы, пускатели, управление",1.0,rules
SE,030200090_,Розетки и выключатели,1.0,rules
SE,030200092_,Розетки и выключатели,1.0,rules
SE,030200093_,Розетки и выключатели,1.0,rules
SE,030200094_,Розетки и выключатели,1.0,rules
SE,030200095_,Розетки и выключатели,1.0,rules
SE,030200096_,Розетки и выключатели,1.0,rules
SE,030200097_,Розетки и выключатели,1.0,rules
SE,030200105_,Розетки и выключатели,1.0,rules
SE,030200125_,Розетки и выключатели,1.0,rules
SE,030200126_,Розетки и выключатели,1.0,rules
SE,030200127_,Розетки и выключатели,1.0,rules
SE,030200128_,Розетки и выключатели,1.0,rules
SE,030200129_,Розетки и выключатели,1.0,rules
SE,030200134_,Розетки и выключатели,1.0,rules
SE,030200135_,Розетки и выключатели,1.0,rules
SE,030200136_,Розетки и выключатели,1.0,rules
SE,030200140_,Прочее,0.54,laya_low_confidence
SE,030200141_,Розетки и выключатели,1.0,rules
SE,030200142_,Розетки и выключатели,1.0,rules
SE,030200143_,Розетки и выключатели,1.0,rules
SE,030200174_,Автоматы и предохранители,1.0,rules
SE,030200175_,Автоматы и предохранители,1.0,rules
SE,030200176_,Розетки и выключатели,1.0,rules
SE,030200179_,Автоматы и предохранители,1.0,rules
SE,030200183_,Розетки и выключатели,1.0,rules
SE,030200184_,Розетки и выключатели,1.0,rules
SE,030200191_,Розетки и выключатели,1.0,rules
SE,030200192_,Коробки установочные,1.0,rules
SE,030200193_,Коробки установочные,1.0,rules
SE,030200194_,Автоматы и предохранители,1.0,rules
SE,030200198_,Розетки и выключатели,1.0,rules
SE,030200200_,Розетки и выключатели,1.0,rules
SE,030200201_,Коробки установочные,1.0,rules
SE,030200203_,Прочее,0.625,laya_low_confidence
SE,030200219_,Коробки установочные,1.0,rules
SE,030200220_,Коробки установочные,1.0,rules
SE,030200221_,Коробки установочные,1.0,rules
SE,030200222_,Коробки установочные,1.0,rules
SE,030200223_,Коробки установочные,1.0,rules
SE,030200224_,Коробки установочные,1.0,rules
SE,030200225_,Коробки установочные,1.0,rules
SE,030200226_,Коробки установочные,1.0,rules
SE,030200227_,Коробки установочные,1.0,rules
SE,030200239_,Розетки и выключатели,1.0,rules
SE,030200240_,Розетки и выключатели,1.0,rules
SE,030200243_,Розетки и выключатели,1.0,rules
SE,030200244_,Розетки и выключатели,1.0,rules
SE,030200245_,Розетки и выключатели,1.0,rules
SE,030200246_,Розетки и выключатели,1.0,rules
SE,030200247_,Розетки и выключатели,1.0,rules
SE,030200248_,Розетки и выключатели,1.0,rules
SE,030200249_,Розетки и выключатели,1.0,rules
SE,030200250_,Розетки и выключатели,1.0,rules
SE,030200251_,Розетки и выключатели,1.0,rules
SE,030200252_,Розетки и выключатели,1.0,rules
SE,030200253_,Розетки и выключатели,1.0,rules
SE,030200254_,Розетки и выключатели,1.0,rules
SE,030200256_,Розетки и выключатели,1.0,rules
SE,030200257_,Розетки и выключатели,1.0,rules
SE,030200258_,Розетки и выключатели,1.0,rules
SE,030200259_,Розетки и выключатели,1.0,rules
SE,030200260_,Розетки и выключатели,1.0,rules
SE,030200261_,Розетки и выключатели,1.0,rules
SE,030200262_,Розетки и выключатели,1.0,rules
SE,030200263_,Розетки и выключатели,1.0,rules
SE,030200264_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,030200265_,Розетки и выключатели,1.0,rules
SE,030200266_,Розетки и выключатели,1.0,rules
SE,030200292_,Розетки и выключатели,1.0,rules
SE,030200295_,Розетки и выключатели,1.0,rules
SE,030200296_,Розетки и выключатели,1.0,rules
SE,030200297_,Розетки и выключатели,1.0,rules
SE,030200298_,Розетки и выключатели,1.0,rules
SE,030200322_,Розетки и выключатели,1.0,rules
SE,030200323_,Розетки и выключатели,1.0,rules
SE,030200330_,Розетки и выключатели,1.0,rules
SE,030200331_,Розетки и выключатели,1.0,rules
SE,030200345,Розетки и выключатели,1.0,rules
SE,030200372_,Розетки и выключатели,1.0,rules
SE,030200375_,Розетки и выключатели,1.0,rules
SE,030200379_,Розетки и выключатели,1.0,rules
SE,030200381_,Розетки и выключатели,1.0,rules
SE,030200382_,Розетки и выключатели,1.0,rules
SE,030200399_,Розетки и выключатели,1.0,rules
SE,030201459_,Коробки установочные,1.0,rules
SE,030300013_,Коробки установочные,1.0,rules
SE,030300014_,Коробки установочные,1.0,rules
SE,030300078_,Коробки установочные,1.0,rules
SE,130300026_,Измерения и инструмент,0.961,laya
SE,130300027_,Прочее,0.559,laya_low_confidence
SE,130300028_,Измерения и инструмент,0.927,laya
SE,280300174_,Коробки установочные,1.0,rules
SE,300100003_,Розетки и выключатели,1.0,rules
SE,300100004_,Розетки и выключатели,1.0,rules
SE,300100006_,Розетки и выключатели,1.0,rules
SE,300100012_,Розетки и выключатели,1.0,rules
SE,300100015_,Розетки и выключатели,1.0,rules
SE,300100018_,Розетки и выключатели,1.0,rules
SE,300200283_,Розетки и выключатели,1.0,rules
SE,300200284_,Розетки и выключатели,1.0,rules
SE,300200285_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200286_,Розетки и выключатели,1.0,rules
SE,300200287_,Розетки и выключатели,1.0,rules
SE,300200288_,Розетки и выключатели,1.0,rules
SE,300200289_,Розетки и выключатели,1.0,rules
SE,300200290_,Розетки и выключатели,1.0,rules
SE,300200291_,Розетки и выключатели,1.0,rules
SE,300200292_,Розетки и выключатели,1.0,rules
SE,300200293_,Розетки и выключатели,1.0,rules
SE,300200294_,Розетки и выключатели,1.0,rules
SE,300200295_,Розетки и выключатели,1.0,rules
SE,300200296_,Розетки и выключатели,1.0,rules
SE,300200297_,Розетки и выключатели,1.0,rules
SE,300200298_,Розетки и выключатели,1.0,rules
SE,300200299_,Розетки и выключатели,1.0,rules
